address,frequency,current_address,lon,lat,note
陇上,9,unknown,unknown,unknown,None
冀城,9,unknown,unknown,unknown,None
临淄,9,unknown,unknown,unknown,None
武都,9,unknown,unknown,unknown,None
渭滨,9,unknown,unknown,unknown,None
洮水,9,unknown,unknown,unknown,None
三国,8,unknown,unknown,unknown,None
涿郡,8,unknown,unknown,unknown,None
河东,8,unknown,unknown,unknown,None
万古,8,unknown,unknown,unknown,None
镇西,8,unknown,unknown,unknown,None
镇东,8,unknown,unknown,unknown,None
庐江,8,unknown,unknown,unknown,None
丹阳,8,unknown,unknown,unknown,None
山野,8,unknown,unknown,unknown,None
入寨,8,unknown,unknown,unknown,None
漳河,8,unknown,unknown,unknown,None
西平,8,unknown,unknown,unknown,None
江水,8,unknown,unknown,unknown,None
武城山,8,unknown,unknown,unknown,None
歇马,7,unknown,unknown,unknown,None
天威,7,unknown,unknown,unknown,None
荥阳,7,unknown,unknown,unknown,None
九州,7,unknown,unknown,unknown,None
江汉,7,unknown,unknown,unknown,None
南屏山,7,unknown,unknown,unknown,None
武陵,7,unknown,unknown,unknown,None
耒阳,7,unknown,unknown,unknown,None
河西,7,unknown,unknown,unknown,None
渭河,7,unknown,unknown,unknown,None
大国,7,unknown,unknown,unknown,None
石头城,7,unknown,unknown,unknown,None
高阜,7,unknown,unknown,unknown,None
吴国,7,unknown,unknown,unknown,None
永昌,7,unknown,unknown,unknown,None
樊建,7,unknown,unknown,unknown,None
甘泉,7,unknown,unknown,unknown,None
东兴,7,unknown,unknown,unknown,None
长城,7,unknown,unknown,unknown,None
江湖,6,unknown,unknown,unknown,None
高冈,6,unknown,unknown,unknown,None
正东,6,unknown,unknown,unknown,None
登城,6,unknown,unknown,unknown,None
河南,6,unknown,unknown,unknown,None
渤海,6,unknown,unknown,unknown,None
关西,6,unknown,unknown,unknown,None
虎牢关,6,unknown,unknown,unknown,None
关东,6,unknown,unknown,unknown,None
岘山,6,unknown,unknown,unknown,None
长安城,6,unknown,unknown,unknown,None
凉州,6,unknown,unknown,unknown,None
西凉州,6,unknown,unknown,unknown,None
鄄城,6,unknown,unknown,unknown,None
东莱,6,unknown,unknown,unknown,None
蛟龙,6,unknown,unknown,unknown,None
之德,6,unknown,unknown,unknown,None
遂拜,6,unknown,unknown,unknown,None
绕城,6,unknown,unknown,unknown,None
东华门,6,unknown,unknown,unknown,None
千古,6,unknown,unknown,unknown,None
卧牛山,6,unknown,unknown,unknown,None
山城,6,unknown,unknown,unknown,None
易州,6,unknown,unknown,unknown,None
城东,6,unknown,unknown,unknown,None
襄江,6,unknown,unknown,unknown,None
白河,6,unknown,unknown,unknown,None
蜀道,6,unknown,unknown,unknown,None
安乐,6,unknown,unknown,unknown,None
西洱河,6,unknown,unknown,unknown,None
阳安关,6,unknown,unknown,unknown,None
中兴,5,unknown,unknown,unknown,None
阳城,5,unknown,unknown,unknown,None
焉能,5,unknown,unknown,unknown,None
布列,5,unknown,unknown,unknown,None
朝贺,5,unknown,unknown,unknown,None
非吾,5,unknown,unknown,unknown,None
济北,5,unknown,unknown,unknown,None
威镇,5,unknown,unknown,unknown,None
汉江,5,unknown,unknown,unknown,None
北地,5,unknown,unknown,unknown,None
中堂,5,unknown,unknown,unknown,None
猛省,5,unknown,unknown,unknown,None
九江,5,unknown,unknown,unknown,None
城垣,5,unknown,unknown,unknown,None
正西,5,unknown,unknown,unknown,None
山河,5,unknown,unknown,unknown,None
中道,5,unknown,unknown,unknown,None
上岭,5,unknown,unknown,unknown,None
豫章,5,unknown,unknown,unknown,None
下城,5,unknown,unknown,unknown,None
择吉,5,unknown,unknown,unknown,None
沛城,5,unknown,unknown,unknown,None
正北,5,unknown,unknown,unknown,None
望北,5,unknown,unknown,unknown,None
沿河,5,unknown,unknown,unknown,None
五关,5,unknown,unknown,unknown,None
镇国寺,5,unknown,unknown,unknown,None
巢湖,5,unknown,unknown,unknown,None
汉川,5,unknown,unknown,unknown,None
阴阳,5,unknown,unknown,unknown,None
江左,5,unknown,unknown,unknown,None
蒙头,5,unknown,unknown,unknown,None
山脚,5,unknown,unknown,unknown,None
满城,5,unknown,unknown,unknown,None
渭北,5,unknown,unknown,unknown,None
渭桥,5,unknown,unknown,unknown,None
蜀地,5,unknown,unknown,unknown,None
山峪,5,unknown,unknown,unknown,None
北山,5,unknown,unknown,unknown,None
偃城,5,unknown,unknown,unknown,None
安东,5,unknown,unknown,unknown,None
二国,5,unknown,unknown,unknown,None
三洞,5,unknown,unknown,unknown,None
回国,5,unknown,unknown,unknown,None
江城,5,unknown,unknown,unknown,None
